# ATPc		0.4
# Unit: mmol l-1 s-1;
V51		0.107376831	# DHAP+GAP --FBP; default 0.5
V52		0.063979048	# FBP --F6P + Pi
V55		0.115403205	# G1P+UTP --OPOP+UDPG
V56		0.055503446	# UDPG+F6P--SUCP + UDP
V57		0.55503446	# SUCP--Pi + SUC; 0.27 DEFALT
V58		0.016819226	# F26BP--F6P + Pi
V59		0.03		# F6P + ATP --ADP + F26BP; default 0.03
# V60		6.1		# ATP+UDP --UTP + ADP
# V61		10000		# POPO --2PO; constant set in globals.hpp
V62		2.0		# SUC Sink        0.9 works.
Vdhap_in	1.05		# DHAP export from chloroplast
Vgap_in		1.05		# GAP export from chloroplast
Vpga_in		1.05		# PGA export from chloropalst
# Rate constants
KE501		20.0		# 0.05 for C3; Equilibrium Constant  50  KE501  0.05  [Bassham, 1869 #832]
Km511		0.02		# FBP 4.1.2.13 51  Km511 FBP 0.02 Pisum sativum (Anderson, Heinrikson et al. 1975)
Km512		0.3		# FBP 4.1.2.13 51  Km512 GAP 0.3 Spinacia oleracea (Iwaki, Wadano et al. 1991)
Km513		0.4		# FBP 4.1.2.13 51  Km513 DHAP 0.4 Spinacia oleracea (Iwaki, Wadano et al. 1991)
KE51		12.0		# Based on Thomas et al 1997 Biochem Journal. The fifth citation in the paper.
Km521		0.0025		# FBPase[1] 3.1.3.11 52  Km521 FBP 0.0025 Pisum sativum (Jang, Lee et al. 2003)
KI521		0.7		# FBPase 3.1.3.11 52  KI521 F6P 0.7  [Heldt, 1983 #841]
KI522		12.0		# FBPase 3.1.3.11 52  KI522 Pi 12 Pisum sativum (Charles & Halliwell 1997)
KI523		7.0e-5		# FBPase 3.1.3.11 52  KI523 F26BP 7*10^(-5) Pisum sativum <Com> {Jang, 2003 #2523}
KE52		6663.0		# FBPase 3.1.3.11 52  KE52   6663 [Bassham, 1869 #832]
KE531		2.3		# Equilibrium Constant 5.3.1.9 53  KE531  2.3[2]  [Bassham, 1869 #832]
KE541		0.0584		# Equilibrium Constant 5.4.2.2 54 G1P G6P KE541 G1P G6P 0.0584  [Bassham, 1869 #832]
Km551		0.14		# UGPase 2.7.7.9 55  Km551 G1P 0.14 Solanum tuberosum (Nakano, Omura et al. 1989)
Km552		0.1		# UDPase 2.7.7.9 55  Km552 UTP 0.1 Solanum tuberosum (Nakano, Omura et al. 1989)
Km553		0.11		# UGPase 2.7.7.9 55  Km553 OPOP 0.11 Solanum tuberosum (Nakano, Omura et al. 1989)
Km554		0.12		# UGPase 2.7.7.9 55  Km554 UDPGlu 0.12 Solanum tuberosum (Nakano, Omura et al. 1989)
KE55		0.31		# UGPase 2.7.7.9 55  KE55 Equi 0.31  Lunn and Rees 1990
Km561		0.8		# SPase 2.4.1.14 56  Km561 D-F6P 0.8 Pisum sativum (Lunn and Ap Rees 1990)
Km562		2.4		# Spase 2.4.1.14 56  Km562 UDP-glucose 2.4 Pisum sativum (Lunn and Ap Rees 1990)
KI561		0.7		# Inhibitor KI561 UDP 0.7 Spinacia oleracea (Harbron, Foyer et al. 1981)
KI562		0.8		# Sucrose Synthesase   Inhibitor KI562 FBP 0.8 Spinacia oleracea (Harbron, Foyer et al. 1981)
KI563		0.4		# Inhibitor KI563 SUCP 0.4 Spinacia oleracea (Harbron, Foyer et al. 1981)
KI564		11.0		# 2.4.1.14 56 Inhibitor KI564 Pi 11 Spinacia oleracea (Harbron, Foyer et al. 1981)
KI565		50.0		# 2.4.1.14 56 Inhibitor KI565 Sucrose 50 Spinacia oleracea {Salerno, 1978 #2525}
KE56		10.0		# KE56  10 Pisum sativum Lunn and Rees, 1990
Km571		0.35		# SPP 3.1.3.24 57.1  Km571 SUCP 0.35 Pisum sativum (Whitaker 1984)
Ki572		10.0		# SPP 3.1.3.24 57.2  Ki572 SUC 80 Daucus carota (Whitaker 1984)
KE57		780.0		# SPP 3.1.3.24 57.2  KE57 Equili 780  Lunn and Rees 1990
Km581		0.032		# F26BPa 3.1.3.46 58  Km581 F26BP 0.032 Spinacia oleracea (Macdonald, Chou et al. 1989)
KI581		0.1		# F26BPa 3.1.3.46 58  KI581 F6P 0.1 Arabidopsis thaliana (Villadsen and Nielsen 2001)
KI582		0.5		# F26BPa 3.1.3.46 58  KI582 OP 0.5 Arabidopsis thaliana (Villadsen and Nielsen 2001)
Km591		0.5		# 6PF2K 2.7.1.105 59  Km591 ATP 0.5 Spinacia oleracea (Walker and Huber 1987)
Km593		0.5		# 6PF2K 2.7.1.105 59  Km593 F6P 0.5 Spinacia oleracea (Walker and Huber 1987)
KI591		0.16		# 59  KI591 ADP 0.16 Rattus norvegicus (Kretschmer and Hofmann 1984)
KE61		128.4		# Pyrophosphate hydrolysis    KE61  1.2*107  {Flodgaard, 1974 #2521}
Km621		5.0		# Vsink   Notice: pH dependent Km621 Sucrose 5  {Weschke, 2000 #2522}
