"Table II.3: The Michaelis-Menten constants, inhibition constants and activation constants of the enzymes in the C3 photosynthesis carbon metabolism model (Zhu et al., 2007). a: RN: Reaction number corresponding to the number in Fig. 1. b: Parameters beginning KM represent the Michaelis-Menten constant of the metabolite listed in the description column. Parameters beginning with KI  represent the inhibition constant of the inhibitor listed in the description  column. Parameters beginning with KA  represent the activation constant of the activator listed in the description column. c: The units of the equilibrium constant are mM (which is equivalent to mmol l-1) for all constants, except Ke. The unit of Ke  for reactions with one substrate and one product, or reactions with two substrates and two products is dimensionless. The unit of Ke  for reactions with one substrate and two products is mM. The unit for reactions with two substrates and one product is (mM)-1. d: The description column lists the compounds to which the kinetic constant applies."
Name,C++ Parameter,Value,Units,RNa,Reaction,Description,Reference,Unnamed: 8,Unnamed: 9
KM11,PS::MOD::KM11,0.0115,mM,1,RuBP+CO2→2PGA,CO2,"Jordan and Ogren (1981), Tcherkez et al. (2006)",,
KM12,PS::MOD::KM12,0.222,mM,1,RuBP+CO2→2PGA,O2,"Jordan and Ogren (1981), von Caemmerer (2000)",,
KM13,"PS::MOD::KM13,PS::RC::KM13",0.02,mM,1,RuBP+CO2→2PGA,RuBP,Farquhar (1979),,
KI11,"PS::MOD::KI11,PS::RC::KI11",0.84,mM,1,RuBP+CO2→2PGA,PGA,Badger and Lorimer (1981),,
KI12,"PS::MOD::KI12,PS::RC::KI12",0.04,mM,1,RuBP+CO2→2PGA,FBP,Badger and Lorimer (1981),,
KI13,"PS::MOD::KI13,PS::RC::KI13",0.075,mM,1,RuBP+CO2→2PGA,SBP,Badger and Lorimer (1981),,
KI14,"PS::MOD::KI14,PS::RC::KI14",0.9,mM,1,RuBP+CO2→2PGA,Pi,Badger and Lorimer (1981),,
KI15,"PS::MOD::KI15,PS::RC::KI15",0.07,mM,1,RuBP+CO2→2PGA,NADPH,Badger and Lorimer (1981),,
Vm1,PS::MOD::V1,2.93,mM L-1s-1,1,RuBP+CO2→2PGA,,"Latzko et al (1981), Woodrow (1986), Geiger et al. (1999), Haake et al.(1999), Chen et al. (2005), Strand et al. (2000), Strand et al (1999), Tamoi et al (2006), Peterkofsky and Racher (1961), Chen et al (2005)",,
KM21,"PS::MOD::KM21,PS::RC::KM21",0.24,mM,2,PGA+ATP ↔ADP + DPGA,PGA,"Larsson-Raznikiewicz (1967), Kopkesecundo et al. (1990)",,
KM22,"PS::MOD::KM22,PS::RC::KM22",0.39,mM,2,PGA+ATP ↔ADP + DPGA,ATP,"Larsson-Raznikiewicz (1967), Kopkesecundo et al. (1990)",,
