"Table II.4: The initial concentrations of solutes in the stroma and lumen, and the amount of the different components of the electron transfer chain in the dark assumed in the model of electron transfer. The [ADP], [Pi] and [ATP] in the stroma are based on measurements for barley (Igamberdiev et al. 2001).  The experimentally measured chloroplastic [Mg2], [K+], and [Cl-] are used as the basis for estimating the stromal concentration of these ions in the dark (Gimmler 1974; Barber 1976; Schroppelmeier and Kaiser 1988).  The model assumes total concentrations of stoma and luminal buffer species following Laisk et al. (1997).  The [NADPH] and [NADP+] in the stroma are based on the measurements of (Giersch et al. 1980) and (Pettersson and Ryde-Pettersson 1988).  In addition to [K+], [Mg2], and [H+], the stromal concentration of cations that cannot permeate the thylakoid membrane was assumed to be 1.4 mmol l-1.  As a simplification, the model currently assumes that the cross-membrane electrical potential was 0 in the dark and the pH of lumen and stroma were both 7.  The initial concentrations of components around PSII are described in detail in the model of fluorescence induction (Zhu et al 2005)."
Name,C++ Parameter,Value,Units,Description
ISPH,,0.0,mmol m­-2,
cyt f,BF::COND::cytc1,1.0,mmol m­-2,
Eaf,RuACT::COND::Eaf,0.0,mmol l-1,
ER,RuACT::COND::ER,0.3,mmol l-1,
ECMR,RuACT::COND::ECMR,0.0,mmol l-1,
MT,RuACT::POOL::M,5.0,mmol l-1,
C,RuACT::POOL::C,0.012,mmol l-1,
Rubisco,,1072.0,mg m-2,
Rubisco activase,RuACT::MOD::activase,80.0,mg m-2,
Ax,XanCycle::COND::Ax,10.0,mmol (mol chl a)-1,
Vx,XanCycle::COND::Vx,160.0,mmol (mol chl a)-1,
Zx,XanCycle::COND::Zx,5.0,mmol (mol chl a)-1,
Thioo,RROEA::POOL::ThioT,0.081,mmol l-1,
Fdo,RROEA::POOL::FdT,0.081,mmol l-1,
Activaseo,RROEA::POOL::RuACTT,0.0056,mmol l-1,
GADPHo,RROEA::POOL::GAPDH,0.0033,mmol l-1,
FBPaseo,RROEA::POOL::FBPase,0.003,mmol l-1,
SBPaseo,RROEA::POOL::SBPase,0.0004,mmol l-1,
PRKo,RROEA::POOL::PRK,0.293,mmol l-1,
ATPaseo,RROEA::POOL::ATPase,0.0036,mmol l-1,
ADPGPPo,RROEA::POOL::ATPGPP,0.048,mmol l-1,
Thior,RROEA::COND::Thio,0.0,mmol l-1,
Fdr,RROEA::COND::Fd,0.0,mmol l-1,
Activaser,RROEA::COND::RuACT,0.0,mmol l-1,
GADPHr,RROEA::COND::GAPDH,0.0,mmol l-1,
FBPaser,RROEA::COND::FBPase,0.0,mmol l-1,
SBPaser,RROEA::COND::SBPase,0.0,mmol l-1,
PRKr,RROEA::COND::PRK,0.0,mmol l-1,
ATPaser,RROEA::COND::ATPase,0.0,mmol l-1,
ADPGPPr,RROEA::COND::ATPGPP,0.0,mmol l-1,
ISPox,BF::COND::ISPo,1.0,mmol m­-2,
ISPoxQH2,BF::COND::ISPoQH2,0.0,mmol m­-2,
PQH·,BF::COND::QHsemi,0.0,mmol m­-2,
Cyt bL,BF::COND::cytbL,1.0,mmol m­-2,
PQib,BF::COND::Qi,0.0,mmol m­-2,
PQ,BF::COND::Q,1.0,mmol m­-2,
Cyt bH,BF::COND::cytbH,1.0,mmol m­-2,
