Table II.1: Definitions of the reaction rates used in the e-Photosynthesis model and their units.
Name,C++ Parameter,Units,Description
vra1,,mmol l-1 s-1,Rate of dissociation of RuBP from Rubisco
vran1,,mmol l-1 s-1,Rate of RuBP binding to Rubisco
vra7,,mmol l-1 s-1,Rate of RuBP binding to ECM to form ECMR
vra6_1,,mmol l-1 s-1,The rate of ECMR carboxylation
vra6_2,,mmol l-1 s-1,The rate of ECMR oxygenation
vav,,mmol l-1 s-1,Rate of conversion from Ax to Vx
vva,,mmol l-1 s-1,Rate of conversion from Vx to Ax
vaz,,mmol l-1 s-1,Rate of conversion from Ax to Zx
vza,,mmol l-1 s-1,Rate of conversion from Zx to Ax
vbfn2,,mmol l-1s-1,The rate of NADPH generation
ve2GADPH,,mmol l-1s-1,Rate of electron transfer from Thior to GAPDHo
ve2FBPase,,mmol l-1s-1,Rate of electron transfer from Thior to FBPaseo
ve2SBPase,,mmol l-1s-1,Rate of electron transfer from Thior to SBPaseo
ve2PRK,,mmol l-1s-1,Rate of electron transfer from Thior to PRKo
ve2ATPase,,mmol l-1s-1,Rate of electron transfer from Thior to ATPaseo
ve2ADPGPP,,mmol l-1s-1,Rate of electron transfer from Thior to ADPGPPo
ve2RuACT,,mmol l-1s-1,Rate of electron transfer from Thior to Activaseo
veFd2Thio,,mmol l-1s-1,Rate of electron transfer from Fdr to Thioo
vs3s0,,mmol m-2s-1,Rate of state transition from the S3 state to S0 state of oxygen evolving complex
vqb,,mmol m-2s-1,The rate of proton uptake for protonation of PQ2- at QB site of PSII
v3,,mmol m-2 s-1,The rate of exchange of PQ with QB2- associated with QA
v3_n,,mmol m-2 s-1,The rate of exchange of PQ with QB2- associated with QA-
v_r3,,mmol m-2 s-1,The rate of the exchange of PQH2 with QB associated with QA
v_r3_n,,mmol m-2 s-1,The rate of exchange of PQH2 with QB associated with QA-
v1,,mmol l-1 s-1,Rate of Rubisco catalyzed reaction:  RuBP+CO2→2PGA
v2,,mmol l-1 s-1,Rate of PGA Kinase  catalyzed reaction PGA+ATP → ADP + DPGA
v3,,mmol l-1 s-1,Rate of GAP dehydragenase catalyzed reaction DPGA+NADPH →GAP + Pi+NADP
v5,,mmol l-1 s-1,Rate of FBP Aldolase catalyzed reaction GAP+DHAP →FBP
v6,,mmol l-1 s-1,Rate of FBPase catalyzed reaction FBP→F6P+Pi
v7,,mmol l-1 s-1,Rate of transketolase catalyzed reaction F6P+GAP→E4P+Xu5P
v8,,mmol l-1 s-1,Rate of aldolase catalyzed reaction E4P+DHAP→SBP
v9,,mmol l-1 s-1,Rate of SBPase catalyzed reaction SBP→S7P+Pi
v10,,mmol l-1 s-1,Rate of transketolase catalyzed reaction S7P+GAP→Ri5P+Xu5P
v13,,mmol l-1 s-1,Rate of Ribulosebiphosphate kinase catalyzed reaction Ru5P+ATP→RuBP+ADP
v16,,mmol l-1 s-1,Rate of ATP synthase catalyzed reaction ADP+Pi→ATP
v23,,mmol l-1 s-1,Rate of ADP-glucose pyrophosphorylase and  Starch Synthase catalyzed reaction ADPG+Gn→G(n+1)+ADP
v31,,mmol l-1 s-1,Rate of phosphate translocator catalyzed reaction  DHAPi→DHAPo
v32,,mmol l-1 s-1,Rate of phosphate translocator catalyzed reaction  PGAi→PGAo
v33,,mmol l-1 s-1,Rate of phosphate translocator catalyzed reaction  GAPi→GAPo
v111,,mmol l-1 s-1,Rate of Rubisco RuBP + O2 →  PGA + PGCA catalyzed reaction
v112,,mmol l-1 s-1,Rate of phosphoglycolate phosphatase catalyzed reaction 2-PGCA +H2O → GCA + Pi
v113,,mmol l-1 s-1,Rate of glycerate kinase catalyzed reaction GCEA + ATP → PGA + ADP
v121,,mmol l-1 s-1,Rate of glycolate oxidase catalyzed reaction GCAC+O2 → H2O2+GOAc
v122,,mmol l-1 s-1,Rate of serine glyoxylate aminotransferase catalyzed reaction GOAc +SERc → HPRc + GLYc
v123,,mmol l-1 s-1,Rate of NADH-hydroxypyruvate reductase catalyzed reaction HPRc + NADc → NADHc + GCEAc
v124,,mmol l-1 s-1,Rate of glutamate glyoxylate aminotransferase  catalyzed reaction (GGAT) GOAc + GLUc → KGc + GLYc
v131,,mmol l-1 s-1,Rate of Glycine decarboxylase catalyzed reaction GLYc + NADc → CO2 + NH3 + SERc +NADHc
v1T,,mmol l-1 s-1,Rate of glycerate/glycolate transporter catalyzed reaction GCEAc ↔ GCEA
v2T,,mmol l-1 s-1,Rate of glycerate/glycolate transporter catalyzed reaction GCAc ↔ GCA
v51,,mmol l-1 s-1,Rate of FBP aldolasec catalyzed reaction DHAPc + PGAc ↔ FBPc
v52,,mmol l-1 s-1,Rate of FBPasec catalyzed reaction FBPc ↔ F6Pc + Pic
v55,,mmol l-1 s-1,Rate of UDP glucose pyrophosphorylase catalyzed reaction G1Pc + UTPc ↔ GDPc + UDPGc
v56,,mmol l-1 s-1,Rate of Sucrose phosphate synthase catalyzed reaction UDPGc + F6Pc ↔  SUCPc + UDPc
v57,,mmol l-1 s-1,Rate of sucrose phosphatase catalyzed reaction catalyzed reaction SUCPc ↔ Pic + SUCc
v58,,mmol l-1 s-1,"Rate of fructose-2,6-bisphosphate 2-phosphatase catalyzed reaction F26BPc ↔ F6Pc + Pic"
v59,,mmol l-1 s-1,Rate of 6-phosphofructo-2-kinase catalyzed reaction F6Pc + ATPc ↔ F26BPc + ADPc
v60,,mmol l-1 s-1,Rate of nucleoside-diphosphate kinase catalyzed reaction ATPc + UDPc ↔ UTPc + ADPc

Table II.2: The values of parameters and kinetic constants added to the e-Photosynthesis model in the light reactions of the e-Photosynthesis.
Name,C++ Parameter,Value,Units,Description,Reference,C++ Parameter conversion,Notes,
kbf1,,1E+06,s-1,Rate constant of formation of ISP.PQH2 complex,Model estimate based on quinine diffusion in thylakoid membrane,,,
kra1,,0.006,mmol-1 l s-1,The rate constant of the activation of the Rubisco bound with RuBP by Rubisco activase,Model estimate,,,
kran1,,1.6E-03, mmol-1 l s-1,Rate constant of formation of Rubisco-RuBP complex,Ernstsen et al. (1999),,,
Krae2,RuACT::RC::Ke2,0.1,mmol,Equilibrium constant of the Rubisco carbamylation reaction EC ↔ E+C,Mate et al. (1996),,,
Krae3,,1.6, mmol,Equilibrium constant for dissociation of Mg2+ from carbamylated Rubisco with bound RuBP (ECM ↔ EC + Mg2+),Mate et al. (1996),,,
kra6,,2.5,,Catalytic number of RuBP carboxylation per active site of Rubisco,Portis (1992),,,
kra7,,200,mmol-1 l s-1,Rate constant of binding RuBP to ECM,Model estimate,,,
kran7,,4.8,s-1,Rate constant of RuBP dessociation from ECMR,Model estimate based on kr,,,
ko,,0.448,mM,Michaelis Menten constant for O2 by ECMR,Jensen and Bahr (1977),,,
kc,,0.016,mM,Michaelis Menten constant for CO2 by ECMR,Jensen and Bahr (1977),,,
kav,,0.003, s-1,Rate constant of conversion from antheroxanthin (Ax) to violaxanthin (Vx),Frommolt et al. (2001),,,
kva,,0.012, s-1,Rate constant of conversion from Vx to Ax,Frommolt et al. (2001),,,
kaz,,0.002, s-1,Rate constant of conversion from Ax to zeaxanthin (Zx),Frommolt et al. (2001),,,
kza,,0.002, s-1,Rate constant of conversion from Zx to Ax,Frommolt et al. (2001),,,
RC,,,,Relaxation constant for changes in rate constant of heat dissipation regulated by xanthophylls cycle,Model variable,,,
kdm,,,,"Maximum rate constant of heat dissipation of excitation energy  regulated by the proportion of Zx in the sum of Ax, Vx and Zx.",Model variable,,,
ke2GADPH,,0.37,s-1 (mmol)-1,Rate constant of electron transfer from Thior to GADPHo,Estimated based on Reichert et al (2000),60.0,,
ke2FBPase,,0.023,s-1 (mmol)-1,Rate constant of electron transfer from Thior to FBPaseo,Estimated based on Laing et al. ( 1981),60.0,,
ke2SBPase,,0.028,s-1 (mmol)-1,Rate constant of electron transfer from Thior to SBPaseo,Estimated based on Laing et al. ( 1981),60.0,,
ke2ATPase,,1,s-1 (mM)-1,Rate constant of electron transfer from Thior to ATPaseo,Model estimate,,,
ke2PRK,,1,s-1 (mM)-1,Rate constant of electron transfer from Thior to PRKo,Estimated based on Laing et al. (1981),60.0,,
ke2RuACT,,0.11,s-1 (mM)-1,Rate constant of electron transfer from Thior to Rubisco activase,Estimated based on Zhang et al. (2002),60.0,,
ke2ADPGPP,,0.1,s-1 (mM)-1,Rate constant of electron transfer from Thior to ADPGPP,Estimated based on Ballicora et al. (2000),60.0,,
keFd2Thio,,10,,Rate constant of electron transfer from Fdr to Thioo,Model estimate,,,
Em_FBPase,,-305,mV,Midpoint potential of GADPH,Schurmann (2003),0.001,,
Em_SBPase,,-300,mV,Midpoint potential of FBPase,Schurmann (2003),0.001,,
Em_GADPH,,-340,mV,Midpoint potential of GADPH,Sparla et al. (2002),0.001,,
Em_PRK,,-295,mV,Midpoint potential of PRK,Hirasawa et al. (1999),0.001,,
Em_ATPase,,-280,mV,Midpoint potential of GADPH,Ort and Oxborough (1992),0.001,,
Em_RuACT,,-295,mV,Midpoint potential of Rubisco activase,Zhang et al. (2001; Schurmann (2003),0.001,,
Em_ADPGPP,,-290,mV,Midpoint potential of ADP-glucose pyrophosphorylase,,0.001,,
Em_Fd,,-420,mV,Midpoint potential of PRK,Batie and Kamin (1984),0.001,,
Em_Thiom,,-300,mV,Midpoint potential for thioredoxin m,Schurmann (2003),0.001,,
Em_Thiof,,-290,mV,Midpoint potential for thioredoxin f,Schurmann (2003),0.001,,
kbf2,,500,s-1,The rate constant for reaction ISPox.PQH2PQH˙ + ISPHred,Crofts et al. (2000),,,
kbf3,,5E+07,s-1,The rate constant for reaction PQH˙ + CytbL  PQ + H+ + CytbL-,Hong et al. (1999),,,
kbf4,,5E+07,s-1,The rate constant for reaction CytbL- + CytbH  CytbL  + CytbH-,Hong et al. (1999),,,
kbf5,,5E+07,s-1,The rate constant for reaction CytbH- + PQ  PQ- + CytbH­,Hong et al. (1999),,,
kbf6,,5E+07,s-1,The rate constant for reaction CytbH- +PQ-  PQ2- + CytbH,Hong et al. (1999),,,
kbf7,,1E+04,s-1,The rate constant for PQ binding to Qi site,Model estimate,,,
kbf8,,1000,s-1,The rate constant for reaction ISPHred + Cytf  ISPH+ox + Cytf-,Fernandez-Velasco et al. (2001),,,
kbf9,,8.3E+06,s-1,The rate constant for reaction Cytf- + PC+ « Cytf + PC,Chen (1989),,,
kbf10,,8E+08,s-1,The rate constant for electron transfer from plastocyanin to P700,Bowyer et al. (1979),,,
Vbf1max,BF::RC::Vmax11,6,mmol l-1 s-1,The maximum rate of ATP synthesis,Wullschleger （1993),,,
kqi,,1E+03,s-1,The rate constant for protonation of PQ2-,Hong et al. (1999),,,
PK,,3.6E-08,cm s-1,Permeability constant for K+ through thylakoid membrane,Pottosin and Schonknecht (1996),,,
PMg,,3.6E-08,cm s-1,Permeability constant for Mg2+ through thylakoid membrane,Pottosin and Schonknecht (1996),,,
PCl,,1.8e-8,cm s-1,Permeability constant for Cl- through thylakoid membrane,Cruz et al. (2001),,,
kAU,FI::RC::kA_U,1010,s-1,Rate constant for exciton transfer from peripheral antenna to core antenna,Model estimate based on rate of excitation transfer between chlorophylls,,,
kUA,FI::RC::kU_A,1E+10,s-1,Rate constant for exciton transfer from peripheral antenna to core antenna,Model estimate based on rate of excitation transfer between chlorophylls,,,
