Table II.2: The values of parameters and kinetic constants added to the e-Photosynthesis model in the light reactions of the e-Photosynthesis.
Name,C++ Parameter,Value,Units,Description,Reference,C++ Parameter conversion,Notes,Unnamed: 8
kbf1,BF::RC::K1,1000000.0,s-1,Rate constant of formation of ISP.PQH2 complex,Model estimate based on quinine diffusion in thylakoid membrane,,,
kra1,RuACT::RC::k1,0.006,mmol-1 l s-1,The rate constant of the activation of the Rubisco bound with RuBP by Rubisco activase,Model estimate,,,
kran1,RuACT::RC::kn1,0.0016, mmol-1 l s-1,Rate constant of formation of Rubisco-RuBP complex,Ernstsen et al. (1999),,,
Krae2,RuACT::RC::Ke2,0.1,mmol,Equilibrium constant of the Rubisco carbamylation reaction EC ↔ E+C,Mate et al. (1996),,,
Krae3,RuACT::RC::Ke3,1.6, mmol,Equilibrium constant for dissociation of Mg2+ from carbamylated Rubisco with bound RuBP (ECM ↔ EC + Mg2+),Mate et al. (1996),,,
kra6,RuACT::RC::k6,2.5,,Catalytic number of RuBP carboxylation per active site of Rubisco,Portis (1992),,,
kra7,RuACT::RC::k7,200.0,mmol-1 l s-1,Rate constant of binding RuBP to ECM,Model estimate,0.125,The text indicates the value should be 25,
kran7,RuACT::RC::kn7,4.8,s-1,Rate constant of RuBP dessociation from ECMR,Model estimate based on kr,,,
ko,RuACT::RC::ko,0.448,mM,Michaelis Menten constant for O2 by ECMR,Jensen and Bahr (1977),,,
kc,RuACT::RC::kc,0.016,mM,Michaelis Menten constant for CO2 by ECMR,Jensen and Bahr (1977),,,
kav,XanCycle::MOD::kav,0.003, s-1,Rate constant of conversion from antheroxanthin (Ax) to violaxanthin (Vx),Frommolt et al. (2001),60.0,,
kva,XanCycle::MOD::kva,0.012, s-1,Rate constant of conversion from Vx to Ax,Frommolt et al. (2001),60.0,,
kaz,XanCycle::MOD::kaz,0.002, s-1,Rate constant of conversion from Ax to zeaxanthin (Zx),Frommolt et al. (2001),60.0,,
kza,XanCycle::MOD::kza,0.002, s-1,Rate constant of conversion from Zx to Ax,Frommolt et al. (2001),60.0,,
RC,,,,Relaxation constant for changes in rate constant of heat dissipation regulated by xanthophylls cycle,Model variable,,,
kdm,,,,"Maximum rate constant of heat dissipation of excitation energy  regulated by the proportion of Zx in the sum of Ax, Vx and Zx.",Model variable,,,
ke2GADPH,RROEA::RC::ke2GAPDH,0.37,s-1 (mmol)-1,Rate constant of electron transfer from Thior to GADPHo,Estimated based on Reichert et al (2000),60.0,,
ke2FBPase,RROEA::RC::ke2FBPase,0.023,s-1 (mmol)-1,Rate constant of electron transfer from Thior to FBPaseo,Estimated based on Laing et al. ( 1981),60.0,,
ke2SBPase,RROEA::RC::ke2SBPase,0.028,s-1 (mmol)-1,Rate constant of electron transfer from Thior to SBPaseo,Estimated based on Laing et al. ( 1981),60.0,,
ke2ATPase,RROEA::RC::ke2ATPase,1.0,s-1 (mM)-1,Rate constant of electron transfer from Thior to ATPaseo,Model estimate,,,
ke2PRK,RROEA::RC::ke2PRK,1.0,s-1 (mM)-1,Rate constant of electron transfer from Thior to PRKo,Estimated based on Laing et al. (1981),60.0,,
ke2RuACT,RROEA::RC::ke2RubACT,0.11,s-1 (mM)-1,Rate constant of electron transfer from Thior to Rubisco activase,Estimated based on Zhang et al. (2002),60.0,,
ke2ADPGPP,RROEA::RC::ke2ATPGPP,0.1,s-1 (mM)-1,Rate constant of electron transfer from Thior to ADPGPP,Estimated based on Ballicora et al. (2000),60.0,,
keFd2Thio,RROEA::RC::keFd2Thio,10.0,,Rate constant of electron transfer from Fdr to Thioo,Model estimate,,,
Em_FBPase,RedoxReg::RC::Em_FBPase,-305.0,mV,Midpoint potential of GADPH,Schurmann (2003),0.001,,
Em_SBPase,RedoxReg::RC::Em_SBPase,-300.0,mV,Midpoint potential of FBPase,Schurmann (2003),0.001,,
Em_GADPH,,-340.0,mV,Midpoint potential of GADPH,Sparla et al. (2002),0.001,,
Em_PRK,RedoxReg::RC::Em_PRK,-295.0,mV,Midpoint potential of PRK,Hirasawa et al. (1999),0.001,,
Em_ATPase,RedoxReg::RC::Em_ATPase,-280.0,mV,Midpoint potential of GADPH,Ort and Oxborough (1992),0.001,,
Em_RuACT,,-295.0,mV,Midpoint potential of Rubisco activase,Zhang et al. (2001; Schurmann (2003),0.001,,
Em_ADPGPP,,-290.0,mV,Midpoint potential of ADP-glucose pyrophosphorylase,,0.001,,
Em_Fd,,-420.0,mV,Midpoint potential of PRK,Batie and Kamin (1984),0.001,,
Em_Thiom,RedoxReg::RC::Em_Thiom,-300.0,mV,Midpoint potential for thioredoxin m,Schurmann (2003),0.001,,
Em_Thiof,,-290.0,mV,Midpoint potential for thioredoxin f,Schurmann (2003),0.001,,
kbf2,BF::RC::K2,500.0,s-1,The rate constant for reaction ISPox.PQH2PQH˙ + ISPHred,Crofts et al. (2000),,,
kbf3,BF::RC::K3,50000000.0,s-1,The rate constant for reaction PQH˙ + CytbL  PQ + H+ + CytbL-,Hong et al. (1999),,,
kbf4,BF::RC::K4,50000000.0,s-1,The rate constant for reaction CytbL- + CytbH  CytbL  + CytbH-,Hong et al. (1999),,,
kbf5,BF::RC::K5,50000000.0,s-1,The rate constant for reaction CytbH- + PQ  PQ- + CytbH­,Hong et al. (1999),,,
kbf6,BF::RC::K6,50000000.0,s-1,The rate constant for reaction CytbH- +PQ-  PQ2- + CytbH,Hong et al. (1999),,,
kbf7,BF::RC::K7,10000.0,s-1,The rate constant for PQ binding to Qi site,Model estimate,,,
