"Table II.5: The concentrations of different metabolites used in the carbon metabolism model (Zhu et al., 2007). The ranges of values found in the literature are given in the adjacent column together with their sources."
Name,C++ Parameter,Value,Units,Location,Reference,Description
RuBP,"PS::COND::RuBP,PR::COND::RuBP,RuACT::COND::RuBP",2.0,mmol l-1,Chl,"Bassham and Krause (1969), Dietz and Heber (1984), Schimkat et al (1990), Woodrow and Mott (1993)",
PGA,PS::COND::PGA,2.4,mmol l-1,Chl,"Schimkat et al (1990), Woodrow and Mott (1993)",
DPGA,PS::COND::DPGA,0.0011,mmol l-1,Chl,"Dietz and Heber (1984),  Woodrow and Mott (1993)",
GAP,IGNORED: Internal to PS_Rate,0.02,mmol l-1,Chl,"Bassham and Krause (1969), Dietz and Heber (1984),  Woodrow and Mott (1993)",
DHAP,IGNORED: Internal to PS_Rate,0.48,mmol l-1,Chl,"Bassham and Krause (1969), Dietz and Heber (1984), Schimkat et al (1990)",
FBP,PS::COND::FBP,0.67,mmol l-1,Chl,"Bassham and Krause (1969), Dietz and Heber (1984), Schimkat et al (1990), Woodrow and Mott (1993)",
E4P,PS::COND::E4P,0.05,mmol l-1,Chl,"Bassham and Krause (1969),  Woodrow and Mott (1993)",
S7P,PS::COND::S7P,2.0,mmol l-1,Chl,"Bassham and Krause (1969),  Woodrow and Mott (1993)",
SBP,PS::COND::SBP,0.3,mmol l-1,Chl,"Bassham and Krause (1969), Schimkat et al (1990), Woodrow and Mott (1993)",
ATP,"PS::COND::ATP,PR::MOD::PR_ATP",0.68,mmol l-1,Chl,"Bassham and Krause (1969), Woodrow and Mott (1993),  Igamberdiev et al (2001)",
NADPH,BF::COND::NADPH,0.21,mmol l-1,Chl,"Giersch et al (1980),  Woodrow and Mott (1993)",
CO2,RuACT::POOL::C,0.012,mmol l-1,Chl,Dietz and Heber (1984),
O2,RuACT::POOL::O,0.26,mmol l-1,Chl,Model estimate,
HexP,PS::COND::HexP,2.2,mmol l-1,Chl,"Schimkat et al (1990), Woodrow and Mott (1993),  Winter et al (1994)",
PenP,PS::COND::PenP,0.25,mmol l-1,Chl,"Bassham and Krause (1969),  Schimkat et al (1990), Woodrow and Mott (1993)",
Pi,ALL::VARS::Pi,5.0,mmol l-1,Chl,"Dietz and Heber (1984), Schimkat et al (1990), Woodrow and Mott (1993)",
CP,PS::MOD::PS_C_CP,15.0,mmol l-1,Chl,Lilley et al (1977),
CA,PS::MOD::PS_C_CA,1.5,mmol l-1,Chl,Igamberdiev et al (2001),
CN,PS::MOD::PS_C_CN,0.5,mmol l-1,Chl,"Giersch et al (1980),",
Pext,PS::MOD::PS_PEXT,0.5,mmol l-1,Chl,"Bligny et al (1990),  Woodrow and Mott (1993)",
NADH,,0.22,mmol l-1,Chl,This was kept constant in the preliminary model,
NADHc,PR::MOD::NADHc,0.47,mmol l-1,Cyto,As for NADH,
NAD,,0.08,mmol l-1,Chl,As for NADH,
NADc,PR::MOD::NADc,0.4,mmol l-1,Cyt,As for NADH,
ATP,IGNORED,0.68,mmol l-1,Chl,,
ATPc,SUCS::MOD::ATPc,0.35,mmol l-1,Cyt,As for NADH,
ADP,PR::MOD::PR_ADP,0.82,mmol l-1,Chl,,
ADPc,SUCS::MOD::ADPc,0.64,mmol l-1,Cyt,As for NADH,
GLUc,PR::MOD::GLUc,24.0,mmol l-1,Cyt,As for NADH,
KGc,PR::MOD::KGc,0.4,mmol l-1,Cyt,As for NADH,
Pic,,5.0,mmol l-1,Chl,As for  NADH,
SERc,PR::COND::SERc,7.5,mmol l-1,Cyt,,
GLYc,PR::COND::GLYc,1.8,mmol l-1,Cyt,,
PGA,PR::MOD::PGA,4.3,mmol l-1,Chl,,
GOAc,PR::COND::GOAc,0.028,mmol l-1,Cyt,30 l cytosol per mg chlorophyll,
GCA,PR::COND::GCA,0.36,mmol l-1,Chl,,
GCAc,PR::COND::GCAc,0.36,mmol l-1,Cyt,,
PGCA,PR::COND::PGCA,0.0029,mmol l-1,Chl,Based on the Michaelis- Menton equation for reaction 112 b,
HPRc,PR::COND::HPRc,0.0035,mmol l-1,Cyt,Based on the Michaelis-Menton equation for reaction 123 b,
GCEA,PR::COND::GCEA,0.1812,mmol l-1,Chl,Based on the Michaelis- Menton equation for reaction 113 b,
GCEAc,PR::COND::GCEAc,0.1812,mmol l-1,Cyt,Assume equilibrium with stromal Glycerate concentration,
TPc,SUCS::COND::T3Pc,2.3,mmol l-1,Cyt,"Stitt et al. (1980), Stitt et al. (1985), Gerhardt et al. (1987), Laisk et al. (1989)",
FBPc,SUCS::COND::FBPc,2.0,mmol l-1,Cyt,As above,
F26BPc,SUCS::COND::F26BPc,7e-06,mmol l-1,Cyt,As above,
UTc,SUCS::POOL::UTc,1.0,mmol l-1,Cyt,As above,
HexPc,SUCS::COND::HexPc,6.0,mmol l-1,Cyt,As above,
UDPG,SUCS::COND::UDPGc,0.6,mmol l-1,Cyt,As above,
PTc,SUCS::POOL::PTc,15.0,mmol l-1,Cyt,As above,
ATc,SUCS::POOL::ATc,1.0,mmol l-1,Cyt,As above,
